# dt           R           V
  1.4314e+01  1.5252e+08  2.2970e+07
  1.4314e+01 -6.4090e+09 -9.6525e+08
  1.4414e+01  7.5974e+09  1.1363e+09
  1.4414e+01  1.5466e+08  2.3131e+07
  1.4414e+01 -6.4990e+09 -9.7200e+08
  1.4515e+01  7.7032e+09  1.1442e+09
  1.4515e+01  1.5681e+08  2.3291e+07
  1.4515e+01 -6.5896e+09 -9.7875e+08
  1.4615e+01  7.8099e+09  1.1521e+09
  1.4615e+01  1.5898e+08  2.3452e+07
  1.4615e+01 -6.6808e+09 -9.8550e+08
  1.4715e+01  7.9172e+09  1.1599e+09
  1.4715e+01  1.6117e+08  2.3613e+07
  1.4715e+01 -6.7726e+09 -9.9225e+08
  1.4815e+01  8.0253e+09  1.1678e+09
  1.4815e+01  1.6337e+08  2.3773e+07
  1.4815e+01 -6.8650e+09 -9.9900e+08
  1.4915e+01  8.1341e+09  1.1757e+09
  1.4915e+01  1.6558e+08  2.3934e+07
  1.4915e+01 -6.9581e+09 -1.0057e+09
  1.5015e+01  8.2437e+09  1.1836e+09
  1.5015e+01  1.6781e+08  2.4094e+07
  1.5015e+01 -7.0518e+09 -1.0125e+09
  1.5115e+01  8.3539e+09  1.1915e+09
  1.5115e+01  1.7006e+08  2.4255e+07
  1.5115e+01 -7.1462e+09 -1.0192e+09
  1.5215e+01  8.4650e+09  1.1994e+09
  1.5215e+01  1.7232e+08  2.4416e+07
  1.5215e+01 -7.2411e+09 -1.0260e+09
  1.5315e+01  8.5767e+09  1.2073e+09
  1.5315e+01  1.7459e+08  2.4576e+07
  1.5315e+01 -7.3367e+09 -1.0327e+09
  1.5415e+01  8.6892e+09  1.2152e+09
  1.5415e+01  1.7688e+08  2.4737e+07
  1.5415e+01 -7.4330e+09 -1.0395e+09
  1.5516e+01  8.8024e+09  1.2231e+09
  1.5516e+01  1.7919e+08  2.4898e+07
  1.5516e+01 -7.5298e+09 -1.0462e+09
  1.5616e+01  8.9163e+09  1.2310e+09
  1.5616e+01  1.8151e+08  2.5058e+07
  1.5616e+01 -7.6273e+09 -1.0530e+09
  1.5716e+01  9.0310e+09  1.2389e+09
  1.5716e+01  1.8384e+08  2.5219e+07
  1.5716e+01 -7.7254e+09 -1.0597e+09
  1.5816e+01  9.1464e+09  1.2467e+09
  1.5816e+01  1.8619e+08  2.5380e+07
  1.5816e+01 -7.8241e+09 -1.0665e+09
  1.5916e+01  9.2626e+09  1.2546e+09
  1.5916e+01  1.8855e+08  2.5540e+07
  1.5916e+01 -7.9234e+09 -1.0732e+09
  1.6016e+01  9.3794e+09  1.2625e+09
  1.6016e+01  1.9093e+08  2.5701e+07
  1.6016e+01 -8.0234e+09 -1.0800e+09
  1.6116e+01  9.4971e+09  1.2704e+09
  1.6116e+01  1.9333e+08  2.5861e+07
  1.6116e+01 -8.1240e+09 -1.0867e+09
  1.6216e+01  9.6154e+09  1.2783e+09
  1.6216e+01  1.9574e+08  2.6022e+07
  1.6216e+01 -8.2253e+09 -1.0935e+09
  1.6316e+01  9.7345e+09  1.2862e+09
  1.6316e+01  1.9816e+08  2.6183e+07
  1.6316e+01 -8.3271e+09 -1.1002e+09
  1.6416e+01  9.8543e+09  1.2941e+09
  1.6416e+01  2.0060e+08  2.6343e+07
  1.6416e+01 -8.4296e+09 -1.1070e+09
  1.6517e+01  9.9748e+09  1.3020e+09
  1.6517e+01  2.0305e+08  2.6504e+07
  1.6517e+01 -8.5327e+09 -1.1137e+09
  1.6617e+01  1.0096e+10  1.3099e+09
  1.6617e+01  2.0552e+08  2.6665e+07
  1.6617e+01 -8.6365e+09 -1.1205e+09
  1.6717e+01  1.0218e+10  1.3178e+09
  1.6717e+01  2.0801e+08  2.6825e+07
  1.6717e+01 -8.7408e+09 -1.1272e+09
  1.6817e+01  1.0341e+10  1.3257e+09
  1.6817e+01  2.1050e+08  2.6986e+07
  1.6817e+01 -8.8458e+09 -1.1340e+09
  1.6917e+01  1.0464e+10  1.3335e+09
  1.6917e+01  2.1302e+08  2.7146e+07
  1.6917e+01 -8.9514e+09 -1.1407e+09
  1.7017e+01  1.0589e+10  1.3414e+09
  1.7017e+01  2.1555e+08  2.7307e+07
  1.7017e+01 -9.0577e+09 -1.1475e+09
  1.7117e+01  1.0713e+10  1.3493e+09
  1.7117e+01  2.1809e+08  2.7468e+07
  1.7117e+01 -9.1646e+09 -1.1542e+09
  1.7217e+01  1.0839e+10  1.3572e+09
  1.7217e+01  2.2065e+08  2.7628e+07
  1.7217e+01 -9.2721e+09 -1.1610e+09
  1.7317e+01  1.0966e+10  1.3651e+09
  1.7317e+01  2.2322e+08  2.7789e+07
  1.7317e+01 -9.3802e+09 -1.1677e+09
  1.7417e+01  1.1093e+10  1.3730e+09
  1.7417e+01  2.2581e+08  2.7950e+07
  1.7417e+01 -9.4890e+09 -1.1745e+09
  1.7518e+01  1.1221e+10  1.3809e+09
  1.7518e+01  2.2841e+08  2.8110e+07
  1.7518e+01 -9.5983e+09 -1.1812e+09
  1.7618e+01  1.1349e+10  1.3888e+09
  1.7618e+01  2.3103e+08  2.8271e+07
  1.7618e+01 -9.7083e+09 -1.1880e+09
  1.7718e+01  1.1478e+10  1.3967e+09
  1.7718e+01  2.3366e+08  2.8431e+07
  1.7718e+01 -9.8190e+09 -1.1947e+09
  1.7818e+01  1.1609e+10  1.4046e+09
  1.7818e+01  2.3631e+08  2.8592e+07
  1.7818e+01 -9.9302e+09 -1.2015e+09
  1.7918e+01  1.1739e+10  1.4125e+09
  1.7918e+01  2.3897e+08  2.8753e+07
  1.7918e+01 -1.0042e+10 -1.2082e+09
  1.8018e+01  1.1871e+10  1.4203e+09
  1.8018e+01  2.4165e+08  2.8913e+07
  1.8018e+01 -1.0155e+10 -1.2150e+09
